Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
76,,CCAFS,,"6,956 kg (15,335 lb)[486]",GTO,SpaceX,,,,,,,,,,JCSat-18,"Success
",F9 B5B1059.1[482],Success(drone ship),5,December
77,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1056.3[482],No attempt,17,December
78,,KSC,,"12,050 kg (26,570 lb)",Sub-orbital,SpaceX,,,,,,,,,,Crew Dragon in-flight abort test,"Success
",F9 B5 ♺ B1049.4,Success(drone ship),7,January
79,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺ B1046.4,Failure(drone ship),19,January
80,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.3,Success(ground pad),29,January
81,,CCAFS,,"1,977 kg (4,359 lb)[507]",LEO,SpaceX,,,,,,,,,,SpaceX CRS-20,"Success
",F9 B5 ♺B1056.4,Failure(drone ship),17,February
82,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1059.2,Success(drone ship),7,March
83,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺ B1048.5,Success(drone ship),18,March
84,,KSC,,"12,530 kg (27,620 lb)[519]",LEO,SpaceX,,,,,,,,,,Crew Dragon Demo-2,"Success
",F9 B5 ♺B1051.4,Success(drone ship),22,April
85,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1058.1[518],Success(drone ship),30,May
86,,CCAFS,,"15,410 kg (33,970 lb)[523]",LEO,U.S. Space Force,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.5,Success(drone ship),4,June
87,,CCAFS,,"4,311 kg (9,504 lb)[530]",MEO,Republic of Korea Army,,,,,,,,,,GPS III,"Success
",F9 B5 ♺B1059.3,Success(drone ship),13,June
88,,CCAFS,,"5,000–6,000 kg (11,000–13,000 lb)",GTO,SpaceX,,,,,,,,,,ANASIS-II,"Success
",F9 B5B1060.1,Success(drone ship),30,June
89,,KSC,,"14,932 kg (32,919 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺ B1058.2[544],Success(drone ship),20,July
90,,CCAFS,,"~15,440 kg (34,040 lb)",LEO,CONAE,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.5,Success(ground pad),7,August
91,,CCAFS,,"3,130 kg (6,900 lb)[558]",SSO,SpaceX,,,,,,,,,,SAOCOM 1B,"Success
",F9 B5 ♺B1049.6[544],Success(drone ship),18,August
92,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1059.4,Success(drone ship),30,August
93,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.2[563],Success(drone ship),3,September
94,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.3[565],Success(drone ship),6,October
95,,CCAFS,,"15,600 kg (34,400 lb)",LEO,USSF,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.6[568],Success(drone ship),18,October
96,,CCAFS,,"4,311 kg (9,504 lb)",MEO,NASA,,,,,,,,,,GPS III,"Success
",F9 B5 ♺B1060.3,Success(drone ship),24,October
97,,KSC,,"~12,500 kg (27,600 lb)",LEO,NASA,,,,,,,,,,Crew-1,"Success
",F9 B5B1062.1,Success(ground pad),5,November
98,,VAFB,,"1,192 kg (2,628 lb)",LEO,SpaceX,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5B1061.1[582],Success(drone ship),16,November
99,,CCAFS,,"15,600 kg (34,400 lb)",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5B1063.1,Success(drone ship),21,November
100,,KSC,,"2,972 kg (6,552 lb)",LEO,Sirius XM,,,,,,,,,,SpaceX CRS-21,"Success
",F9 B5 ♺B1049.7[590],Success(drone ship),25,November
101,,CCSFS,,"7,000 kg (15,000 lb)",GTO,NRO,,,,,,,,,,SXM-7,"Success
",F9 B5 ♺B1058.4[592],Success(ground pad),6,December
102,,KSC,,Classified,LEO,Türksat,,,,,,,,,,NROL-108,"Success
",F9 B5 ♺B1051.7,Success(drone ship),13,December
103,,CCSFS,,"3,500 kg (7,700 lb)",GTO,SpaceX,,,,,,,,,,Türksat 5A,"Success
",F9 B5 ♺B1059.5,Success(drone ship),19,December
104,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.4,Failure[9][10](parachute),8,January
105,,CCSFS,,"~5,000 kg (11,000 lb)",SSO,NASA,,,,,,,,,,Transporter-1,Success,F9 B5 ♺B1051.8[609],Failure[9][14](parachute),20,January
106,,CCAFS,,,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 B5 ♺B1058.5[613],No attempt,24,January
1,,CCAFS,,,LEO,NASA,,,,,,,,,,Dragon,"Success
",F9 v1.0[7]B0003.1[8],No attempt,4,June
2,,CCAFS,,"525 kg (1,157 lb)[19]",LEO,NASA,,,,,,,,,,Dragon,"Success
",F9 v1.0[7]B0004.1[8],No attempt,8,December
3,,CCAFS,,"4,700 kg (10,400 lb)",LEO,MDA,,,,,,,,,,SpaceX CRS-1,Success,F9 v1.0[7]B0005.1[8],Uncontrolled(ocean)[d],22,May
4,,CCAFS,,"4,877 kg (10,752 lb)",LEO,SES,,,,,,,,,,SpaceX CRS-2,Success,F9 v1.0[7]B0006.1[8],No attempt[38],8,October
5,,VAFB,,"500 kg (1,100 lb)",Polar orbit,Thaicom,,,,,,,,,,CASSIOPE,Success,F9 v1.0[7]B0007.1[8],No attempt[43],1,March
6,,CCAFS,,"3,170 kg (6,990 lb)",GTO,NASA,,,,,,,,,,SES-8,"Success
",F9 v1.1[7]B1003[8],Controlled(ocean) [d][46],29,September
7,,CCAFS,,"3,325 kg (7,330 lb)",GTO,Orbcomm,,,,,,,,,,Thaicom 6,Success,F9 v1.1B1004,Controlled(ocean)[d][46],3,December
8,,Cape Canaveral,,"2,296 kg (5,062 lb)[45]",LEO,AsiaSat,,,,,,,,,,SpaceX CRS-3,Success,F9 v1.1,No attempt[57],6,January
9,,Cape Canaveral,,"1,316 kg (2,901 lb)",LEO,AsiaSat,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,No attempt,18,April
10,,Cape Canaveral,,"4,535 kg (9,998 lb)",GTO,NASA,,,,,,,,,,AsiaSat 8,Success,F9 v1.1,Uncontrolled(ocean)[d][64],14,July
11,,Cape Canaveral,,"4,428 kg (9,762 lb)",GTO,NASA,,,,,,,,,,AsiaSat 6,Success,F9 v1.1,Failure (drone ship),5,August
12,,Cape Canaveral,,"2,216 kg (4,885 lb)[62]",LEO,USAF,,,,,,,,,,SpaceX CRS-4,"Success
",F9 v1.1B1011[8],Controlled(ocean)[d],7,September
13,,Cape Canaveral,,"2,395 kg (5,280 lb)[69]",LEO,ABS,,,,,,,,,,SpaceX CRS-5,"Success
",F9 v1.1B1010[8],No attempt[77],21,September
14,,Cape Canaveral,,"570 kg (1,260 lb)",HEO,NASA,,,,,,,,,,DSCOVR,"Success
",F9 v1.1B1012[8],Failure[83](drone ship),10,January
15,,Cape Canaveral,,"4,159 kg (9,169 lb)",GTO,,,,,,,,,,,ABS-3A,"Success
",F9 v1.1B1013[8],No attempt[89],11,February
16,,Cape Canaveral,,"1,898 kg (4,184 lb)[82]",LEO,NASA,,,,,,,,,,SpaceX CRS-6,Failure,F9 v1.1B1014[8],Precluded[94](drone ship),2,March
17,,Cape Canaveral,,"4,707 kg (10,377 lb)",GTO,Orbcomm,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",F9 v1.1B1015[8],Success[99](ground pad),14,April
18,,Cape Canaveral,,"1,952 kg (4,303 lb)[92]",LEO,NASA,,,,,,,,,,SpaceX CRS-7,"Success
",F9 v1.1B1016[8],Failure(drone ship),27,April
19,,Cape Canaveral,,"2,034 kg (4,484 lb)",LEO,SES,,,,,,,,,,Orbcomm-OG2,"Success
",F9 v1.1B1018[8],Failure(drone ship),28,June
20,,VAFB,,"553 kg (1,219 lb)",LEO,NASA,,,,,,,,,,Jason-3,Success,F9 FTB1019.1[98],Success[118](drone ship),22,December
21,,Cape Canaveral,,"5,271 kg (11,621 lb)",GTO,SKY Perfect JSAT Group,,,,,,,,,,SES-9,"Success
",F9 v1.1B1017[8],Success(drone ship),17,January
22,,Cape Canaveral,,"3,136 kg (6,914 lb)[116]",LEO,Thaicom,,,,,,,,,,SpaceX CRS-8,"Success
",F9 FTB1020.1[108],Success[133](drone ship),4,March
23,,Cape Canaveral,,"4,696 kg (10,353 lb)[124]",GTO,ABS,,,,,,,,,,JCSAT-14,"Success
",F9 FTB1021.1[115],Failure[64](drone ship),8,April
24,,Cape Canaveral,,"3,100 kg (6,800 lb)[132]",GTO,NASA,,,,,,,,,,Thaicom 8,"Success
",F9 FTB1022.1[122],Success(ground pad),6,May
25,,Cape Canaveral,,"3,600 kg (7,900 lb)",GTO,SKY Perfect JSAT Group,,,,,,,,,,ABS-2A,"Success
",F9 FTB1023.1[129],Success(drone ship),27,May
26,,Cape Canaveral,,"2,257 kg (4,976 lb)[142]",LEO,Iridium Communications,,,,,,,,,,SpaceX CRS-9,"Success
",F9 FTB1024.1[108],Success[154](drone ship),15,June
27,,Cape Canaveral,,"4,600 kg (10,100 lb)",GTO,NASA,,,,,,,,,,JCSAT-16,"Success
",F9 FTB1025.1[129],Success(ground pad),18,July
28,,VAFB,,"9,600 kg (21,200 lb)",Polar,EchoStar,,,,,,,,,,Iridium NEXT,"Success
",F9 FTB1026.1[108],No attempt[165],14,August
29,,KSC,,"2,490 kg (5,490 lb)[160]",LEO,SES,,,,,,,,,,SpaceX CRS-10,Success,F9 FTB1029.1[151],Success(drone ship),14,January
30,,KSC,,"5,600 kg (12,300 lb)[164]",GTO,NRO,,,,,,,,,,EchoStar 23,"Success
",F9 FTB1031.1[8],Success(ground pad),19,February
31,,KSC,,"5,300 kg (11,700 lb)[169]",GTO,Inmarsat,,,,,,,,,,SES-10,"Success
",F9 FTB1030.1[163],No attempt[165],16,March
32,,KSC,,Classified,LEO,NASA,,,,,,,,,,NROL-76,"Success
",F9 FT ♺B1021.2[115],Success(ground pad),30,March
33,,KSC,,"6,070 kg (13,380 lb)[181]",GTO,Bulsatcom,,,,,,,,,,Inmarsat-5 F4,"Success
",F9 FTB1032.1[129],Success(drone ship),1,May
34,,KSC,,"2,708 kg (5,970 lb)[186]",LEO,Iridium Communications,,,,,,,,,,SpaceX CRS-11,"Success
",F9 FTB1034.1[179],Success(drone ship),15,May
35,,KSC,,"3,669 kg (8,089 lb)[197]",GTO,Intelsat,,,,,,,,,,BulgariaSat-1,"Success
",F9 FTB1035.1[185],No attempt[165],3,June
36,,VAFB,,"9,600 kg (21,200 lb)",LEO,NASA,,,,,,,,,,Iridium NEXT,"Success
",F9 FT ♺ B1029.2[195],Success(ground pad),23,June
37,,KSC,,"6,761 kg (14,905 lb)[202]",GTO,NSPO,,,,,,,,,,Intelsat 35e,"Success
",F9 FTB1036.1[198],Success(drone ship),25,June
38,,KSC,,"3,310 kg (7,300 lb)",LEO,USAF,,,,,,,,,,SpaceX CRS-12,"Success
",F9 FTB1037.1[200],Success(ground pad),5,July
39,,VAFB,,"475 kg (1,047 lb)[212]",SSO,Iridium Communications,,,,,,,,,,Formosat-5,"Success
",F9 B4B1039.1[207],Success(drone ship),14,August
40,,KSC,,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,SES S.A.,,,,,,,,,,Boeing X-37B,"Success
",F9 FTB1038.1[209],Success(drone ship),24,August
41,,VAFB,,"9,600 kg (21,200 lb)",Polar,KT Corporation,,,,,,,,,,Iridium NEXT,"Success
",F9 B4B1040.1[108],Success(drone ship),7,September
42,,KSC,,"5,200 kg (11,500 lb)",GTO,NASA,,,,,,,,,,SES-11,"Success
",F9 B4B1041.1[219],Success(ground pad),9,October
43,,KSC,,"3,500 kg (7,700 lb)",GTO,Iridium Communications,,,,,,,,,,Koreasat 5A,Success,F9 FT ♺ B1031.2[220],Controlled(ocean)[d][230],11,October
44,,Cape Canaveral,,"2,205 kg (4,861 lb)",LEO,Northrop Grumman,,,,,,,,,,SpaceX CRS-13,Success,F9 B4B1042.1[219],Success(ground pad),30,October
45,,VAFB,,"9,600 kg (21,200 lb)",Polar,SES,,,,,,,,,,Iridium NEXT,Success,F9 FT ♺ B1035.2[227],Controlled(ocean)[d][248],15,December
46,,CCAFS,,Classified,LEO,Hisdesat,,,,,,,,,,Zuma,Success,F9 FT ♺ B1036.2[227],No attempt[271],23,December
47,,CCAFS,,"4,230 kg (9,330 lb)[247]",GTO,Hispasat,,,,,,,,,,GovSat-1,Success,F9 B4B1043.1[238],No attempt[281],8,January
48,,VAFB,,"2,150 kg (4,740 lb)",SSO,Iridium Communications,,,,,,,,,,Paz,Success,F9 FT ♺ B1032.2[245],No attempt[287],31,January
49,,CCAFS,,"6,092 kg (13,431 lb)[279]",GTO,NASA,,,,,,,,,,Hispasat 30W-6,Success,F9 FT ♺B1038.2[268],No attempt[294],22,February
50,,VAFB,,"9,600 kg (21,200 lb)",Polar,NASA,,,,,,,,,,Iridium NEXT,Success,F9 B4B1044.1[108],Success[306](drone ship),6,March
51,,CCAFS,,"2,647 kg (5,836 lb)[292]",LEO,Thales-Alenia,,,,,,,,,,SpaceX CRS-14,Success,F9 B4 ♺B1041.2[268],Success[315](drone ship),30,March
52,,CCAFS,,362 kg (798 lb)[305],HEO,Iridium Communications,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,F9 B4 ♺B1039.2[292],No attempt[165],2,April
53,,KSC,,"3,600 kg (7,900 lb)[314]",GTO,SES,,,,,,,,,,Bangabandhu-1,Success,F9 B4B1045.1[268],No attempt[165],18,April
54,,VAFB,,"6,460 kg (14,240 lb)[g]",Polar,NASA,,,,,,,,,,Iridium NEXT,Success,F9 B5[311]B1046.1[268],No attempt[165],11,May
55,,CCAFS,,"5,384 kg (11,870 lb)[332]",GTO,Telesat,,,,,,,,,,SES-12,Success,F9 B4 ♺B1043.2[322],Success[344](drone ship),22,May
56,,CCAFS,,"2,697 kg (5,946 lb)[337]",LEO,Iridium Communications,,,,,,,,,,SpaceX CRS-15,Success,F9 B4 ♺B1040.2[268],Success[352](drone ship),4,June
57,,CCAFS,,"7,075 kg (15,598 lb)[342]",GTO,Telkom Indonesia,,,,,,,,,,Telstar 19V,Success,F9 B4 ♺B1045.2[336],Success[358](drone ship),29,June
58,,VAFB,,"9,600 kg (21,200 lb)",Polar,Telesat,,,,,,,,,,Iridium NEXT,Success,F9 B5B1047.1,Success[361](drone ship),22,July
59,,CCAFS,,"5,800 kg (12,800 lb)[357]",GTO,CONAE,,,,,,,,,,Merah Putih,Success,F9 B5[349]B1048.1[350],Success[363](ground pad),25,July
60,,CCAFS,,"7,060 kg (15,560 lb)[361]",GTO,Es'hailSat,,,,,,,,,,Telstar 18V,Success,F9 B5 ♺ B1046.2[354],Success[370](drone ship),7,August
61,,VAFB,,"3,000 kg (6,600 lb)[363]",SSO,Spaceflight Industries,,,,,,,,,,SAOCOM 1A,Success,F9 B5B1049.1[268],Success[373](drone ship),10,September
62,,KSC,,"5,300 kg (11,700 lb)[369]",GTO,NASA,,,,,,,,,,Es'hail 2,"Success
",F9 B5 ♺B1048.2[364],Failure[383](ground pad),8,October
63,,VAFB,,"~4,000 kg (8,800 lb)[372]",SSO,USAF,,,,,,,,,,SSO-A,Success,F9 B5 ♺B1047.2[268],No attempt[386],15,November
64,,CCAFS,,"2,500 kg (5,500 lb)[382]",LEO,Iridium Communications,,,,,,,,,,SpaceX CRS-16,"Success
",F9 B5 ♺ B1046.3[268]SHERPA,Success(drone ship),3,December
65,,CCAFS,,"4,400 kg (9,700 lb)[388]",MEO,PSN,,,,,,,,,,GPS III,"Success
",F9 B5B1050[268],Success(drone ship),5,December
66,,VAFB,,"9,600 kg (21,200 lb)",Polar,NASA,,,,,,,,,,Iridium NEXT,"Success
",F9 B5B1054[387],Success(drone ship),23,December
67,,CCAFS,,"4,850 kg (10,690 lb)[403]",GTO,NASA,,,,,,,,,,Nusantara Satu,"Success
",F9 B5 ♺B1049.2[397],Success(drone ship),11,January
68,,KSC,,"12,055 kg (26,577 lb)[415][h]",LEO,SpaceX,,,,,,,,,,Crew Dragon Demo-1,"Success
",F9 B5 ♺B1048.3[399],Success(drone ship),22,February
69,,CCAFS,,"2,495 kg (5,501 lb)[432]",LEO,Canadian Space Agency,,,,,,,,,,SpaceX CRS-17,"Success
",F9 B5B1051.1[268][413],Success(ground pad),2,March
70,,CCAFS,,"13,620 kg (30,030 lb)[5]",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5B1056.1[420],Success(ground pad),4,May
71,,VAFB,,"4,200 kg (9,300 lb)[443]",SSO,Spacecom,,,,,,,,,,RADARSAT Constellation,"Success
",F9 B5 ♺B1049.3[434],No attempt[474],24,May
72,,CCAFS,,"2,268 kg (5,000 lb)[464]",LEO,SpaceX,,,,,,,,,,SpaceX CRS-18,"Success
",F9 B5 ♺B1051.2[420],Success(drone ship),12,June
73,,CCAFS,,"6,500 kg (14,300 lb)[474]",GTO,NASA,,,,,,,,,,AMOS-17,"Success
",F9 B5 ♺B1056.2[465],Success(drone ship),25,July
74,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,Sky Perfect JSAT,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1047.3[472],Success(drone ship),6,August
75,,CCAFS,,"2,617 kg (5,769 lb)",LEO,SpaceX,,,,,,,,,,SpaceX CRS-19,"Success
",F9 B5 ♺B1048.4,Success(drone ship),11,November
76,,CCAFS,,"6,956 kg (15,335 lb)[486]",GTO,NASA,,,,,,,,,,JCSat-18,"Success
",F9 B5B1059.1[482],No attempt,5,December
77,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1056.3[482],Success(drone ship),17,December
78,,KSC,,"12,050 kg (26,570 lb)",Sub-orbital,SpaceX,,,,,,,,,,Crew Dragon in-flight abort test,"Success
",F9 B5 ♺ B1049.4,Failure(drone ship),7,January
79,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺ B1046.4,Success(ground pad),19,January
80,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.3,Failure(drone ship),29,January
81,,CCAFS,,"1,977 kg (4,359 lb)[507]",LEO,SpaceX,,,,,,,,,,SpaceX CRS-20,"Success
",F9 B5 ♺B1056.4,Success(drone ship),17,February
82,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1059.2,Success(drone ship),7,March
83,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺ B1048.5,Success(drone ship),18,March
84,,KSC,,"12,530 kg (27,620 lb)[519]",LEO,SpaceX,,,,,,,,,,Crew Dragon Demo-2,"Success
",F9 B5 ♺B1051.4,Success(drone ship),22,April
85,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,U.S. Space Force,,,,,,,,,,Starlink,"Success
",F9 B5B1058.1[518],Success(drone ship),30,May
86,,CCAFS,,"15,410 kg (33,970 lb)[523]",LEO,Republic of Korea Army,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.5,Success(drone ship),4,June
87,,CCAFS,,"4,311 kg (9,504 lb)[530]",MEO,SpaceX,,,,,,,,,,GPS III,"Success
",F9 B5 ♺B1059.3,Success(drone ship),13,June
88,,CCAFS,,"5,000–6,000 kg (11,000–13,000 lb)",GTO,SpaceX,,,,,,,,,,ANASIS-II,"Success
",F9 B5B1060.1,Success(drone ship),30,June
89,,KSC,,"14,932 kg (32,919 lb)",LEO,CONAE,,,,,,,,,,Starlink,"Success
",F9 B5 ♺ B1058.2[544],Success(ground pad),20,July
90,,CCAFS,,"~15,440 kg (34,040 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.5,Success(drone ship),7,August
91,,CCAFS,,"3,130 kg (6,900 lb)[558]",SSO,SpaceX,,,,,,,,,,SAOCOM 1B,"Success
",F9 B5 ♺B1049.6[544],Success(drone ship),18,August
92,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1059.4,Success(drone ship),30,August
93,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.2[563],Success(drone ship),3,September
94,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,USSF,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.3[565],Success(drone ship),6,October
95,,CCAFS,,"15,600 kg (34,400 lb)",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.6[568],Success(drone ship),18,October
96,,CCAFS,,"4,311 kg (9,504 lb)",MEO,NASA,,,,,,,,,,GPS III,"Success
",F9 B5 ♺B1060.3,Success(ground pad),24,October
97,,KSC,,"~12,500 kg (27,600 lb)",LEO,SpaceX,,,,,,,,,,Crew-1,"Success
",F9 B5B1062.1,Success(drone ship),5,November
98,,VAFB,,"1,192 kg (2,628 lb)",LEO,NASA,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5B1061.1[582],Success(drone ship),16,November
99,,CCAFS,,"15,600 kg (34,400 lb)",LEO,Sirius XM,,,,,,,,,,Starlink,"Success
",F9 B5B1063.1,Success(drone ship),21,November
100,,KSC,,"2,972 kg (6,552 lb)",LEO,NRO,,,,,,,,,,SpaceX CRS-21,"Success
",F9 B5 ♺B1049.7[590],Success(ground pad),25,November
101,,CCSFS,,"7,000 kg (15,000 lb)",GTO,Türksat,,,,,,,,,,SXM-7,"Success
",F9 B5 ♺B1058.4[592],Success(drone ship),6,December
102,,KSC,,Classified,LEO,SpaceX,,,,,,,,,,NROL-108,"Success
",F9 B5 ♺B1051.7,Success(drone ship),13,December
103,,CCSFS,,"3,500 kg (7,700 lb)",GTO,,,,,,,,,,,Türksat 5A,"Success
",F9 B5 ♺B1059.5,Success(drone ship),19,December
104,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.4,Success(drone ship),8,January
105,,CCSFS,,"~5,000 kg (11,000 lb)",SSO,SpaceX,,,,,,,,,,Transporter-1,"Success
",F9 B5 ♺B1051.8[609],Failure (drone ship),20,January
106,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.5[613],Success(drone ship),24,January
107,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.5[624],Success(drone ship),4,February
108,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1059.6,Success(drone ship),16,February
109,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.8[634],Success(drone ship),4,March
110,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.6[638],Success(drone ship),11,March
111,,CCSFS,,"15,600 kg (34,400 lb)",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.9,Success(drone ship),14,March
112,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.6[643],Success(drone ship),24,March
113,,KSC,,"~13,000 kg (29,000 lb)[648]",LEO,SpaceX,,,,,,,,,,Crew-2,"Success
",F9 B5 ♺B1058.7,Success(drone ship),7,April
114,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1061.2[647],Success(drone ship),23,April
115,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.7[652],Success(drone ship),29,April
116,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.9[655],Success(drone ship),4,May
117,,KSC,,"~14,000 kg (31,000 lb)",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.10[657],Success(drone ship),9,May
118,,CCSFS,,"15,600 kg (34,400 lb)",LEO,Sirius XM,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.8[660],Success(drone ship),15,May
119,,KSC,,"3,328 kg (7,337 lb)",LEO,,,,,,,,,,,SpaceX CRS-22,,F9 B5 ♺B1063.2[665],,26,May
120,,CCSFS,,"7,000 kg (15,000 lb)",GTO,,,,,,,,,,,SXM-8,,F9 B5 B1067.1[668],,3,June
121,,,,,,,,,,,,,,,,,,F9 B5 ♺ B1061.3,,6,June
